2025-02-19 13:55:05,091 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 13:57:03,521 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 14:19:10,583 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 14:19:55,183 - evaluate - INFO - Evaluate Model: MAE: 5293.929204004763, MSE: 47459708.49753976, R2: 0.6059323130840268 


2025-02-19 14:21:42,389 - evaluate - INFO - Evaluate Model: MAE: 6208.447079529467, MSE: 60616311.60670694, R2: 0.6840793619794663 


2025-02-19 14:22:45,286 - evaluate - INFO - Evaluate Model: MAE: 5597.817918858213, MSE: 51969817.23265752, R2: 0.6127765272757297 


2025-02-19 14:26:33,186 - evaluate - INFO - Evaluate Model: MAE: 5597.817918858213, MSE: 51969817.23265752, R2: 0.6127765272757297 


2025-02-19 14:27:18,214 - evaluate - INFO - Evaluate Model: MAE: 1520.8916225362696, MSE: 7339254.791764187, R2: 0.9453157259539232 


2025-02-19 14:35:33,386 - evaluate - INFO - Evaluate Model: MAE: 6208.447079529467, MSE: 60616311.60670694, R2: 0.6840793619794663 


2025-02-19 14:36:10,921 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 14:44:12,880 - evaluate - INFO - Evaluate Model: MAE: 6075.804615651098, MSE: 58372955.09486164, R2: 0.6701282238240955 


2025-02-19 14:45:02,200 - evaluate - INFO - Evaluate Model: MAE: 6091.4629866209025, MSE: 58560913.51015553, R2: 0.6711384678873175 


2025-02-19 15:06:40,385 - evaluate - INFO - Evaluate Model: MAE: 6198.181504299497, MSE: 60371319.2804551, R2: 0.6597587143752572 


2025-02-19 15:07:42,075 - evaluate - INFO - Evaluate Model: MAE: 10776.243906424776, MSE: 159663389.28291553, R2: 0.10016747216570943 


2025-02-19 15:09:34,161 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 15:10:13,782 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 15:15:59,153 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 15:17:13,230 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 15:35:36,917 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 15:48:20,090 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 16:27:50,271 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 16:52:56,729 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 16:54:35,072 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 16:58:05,320 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 16:58:57,126 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 17:12:39,925 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 17:13:21,620 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-19 17:14:29,522 - evaluate - INFO - Evaluate Model: MAE: 6090.852835696697, MSE: 58445975.91843409, R2: 0.6706095837710362 


2025-02-19 17:22:17,547 - evaluate - INFO - Evaluate Model: MAE: 6091.367595748276, MSE: 58265556.29104887, R2: 0.6712727344344774 


2025-02-20 08:25:32,426 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-20 08:28:04,799 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-20 08:48:56,589 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-20 08:55:10,287 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-20 09:31:02,225 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-20 09:33:29,883 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-20 09:55:07,473 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-20 09:56:24,712 - evaluate - INFO - Evaluate Model: MAE: 6100.239435356078, MSE: 58451616.91805535, R2: 0.6705777921688943 


2025-02-20 09:57:52,165 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-02-20 10:18:57,513 - evaluate - INFO - Evaluate Model: MAE: 1154.3387678697222, MSE: 5088786.811282163, R2: 0.9586298198125848 


2025-02-20 10:19:35,206 - evaluate - INFO - Evaluate Model: MAE: 5073.435799577567, MSE: 40750131.33311452, R2: 0.6687146979366142 


